VideoID,Title,Views,Likes,Dislikes,Comments,Upload_Date
nbzQdlWrcnk,Running With Bigger And Bigger Lunchlys,313976775,8101762,0,10180,2024-09-20
8krJy31Diow,Holding Bigger And Bigger Dogs,297184830,7842140,0,9405,2024-09-16
aRcUVhVlSHg,"Men Vs Women Survive In The Wilderness For $500,000",188548761,4152664,0,50549,2024-09-07
Jo7sfpeWqwE,Will A Guitar Boat Hold My Weight?,747272461,18116682,0,15329,2024-09-05
QtD-CeUdRUQ,"Real Or Cake For $10,000",213008995,7486005,0,16429,2024-08-29
ndAQfTzlVjc,7 Days Stranded In A Cave,157197548,4509396,0,93161,2024-08-17
AydS-vA3qa4,Running With Bigger And Bigger Feastables,414495560,12051438,0,29869,2024-08-16
UPrkC1LdlLY,"Survive 100 Days In Nuclear Bunker, Win $500,000",307986325,6039236,0,86697,2024-08-03
8bTQMDM4qvY,"Spot The Fake Animal For $10,000",576807141,16786192,0,28546,2024-07-19
DBw0oD38z0Q,This Game Is Wild,225291994,6150933,0,12098,2024-07-17
4SNThp0YiU4,"50 YouTubers Fight For $1,000,000",385699643,9447251,0,347084,2024-07-13
XhuisK0bTSA,Pass The Phone To…,253032220,11057193,0,50878,2024-07-11
lkCRPp7cnP8,How Many Balloons Does It Take To Fly?,523988716,20313641,0,51329,2024-07-10
KkCXLABwHP0,I Built 100 Houses And Gave Them Away!,209136699,7726163,0,289557,2024-06-29
PWirijQkH4M,World’s Deadliest Obstacle Course!,343232401,6581082,0,142391,2024-06-15
U_LlX4t0A9I,"$10,000 Every Day You Survive In The Wilderness",296766848,8397904,0,332618,2024-06-01
T8I165Qxeo8,Sprinting with More and More Money,309288603,11883927,0,85611,2024-05-30
i-9V21MqlhY,Giving 1000 Phones Away,302705001,22118922,0,805587,2024-05-28
YyNz4--6fro,World’s Smartest Dog,232695342,9903350,0,33782,2024-05-16
f0cXJ6mJxGc,Bottle Head Smashing World Record Attempt!,484067140,12411977,0,49487,2024-05-14
F6PqxbvOCUI,"Protect The Yacht, Keep It!",157436394,4164132,0,80498,2024-05-11
oA4LSZvX4iE,Ages 1-100 Try My Chocolate,260834585,9721748,0,34379,2024-05-09
ZKxnjszkZto,"Spot The Hidden People For $10,000",193290217,6336285,0,11841,2024-05-08
8_gdcaX9Xqk,"Would You Split Or Steal $250,000?",201406885,11283839,0,28432,2024-05-03
snUyLbGx6U4,"Buy Feastables, Win Unlimited Money",357617850,12013570,0,26299,2024-04-30
Pv0iVoSZzN8,In 10 Minutes This Room Will Explode!,156873656,4137817,0,77900,2024-04-27
CWbV3NItSdY,The World's Fastest Cleaners,679143409,26134106,0,42723,2024-04-25
l-nMKJ5J3Uc,"Ages 1 - 100 Decide Who Wins $250,000",286614866,6129963,0,211559,2024-04-20
XE1Qyss8GIY,"Guess The Gift, Keep It",514049401,18807596,0,23754,2024-04-09
6GzHPS0rEgc,"I’m Giving My 250M Subscriber $25,000",127396692,7892416,0,51679,2024-04-07
imhY0pe-Sd8,"Anything You Touch, You Keep!",245034975,10080069,0,15314,2024-04-02
erLbbextvlY,7 Days Stranded On An Island,387187741,7139392,0,145414,2024-03-30
OnTTThIzuNU,"Keep Track Of Car, Win $10,000",169093413,7799184,0,90454,2024-03-19
mKdjycj-7eE,"Stop This Train, Win a Lamborghini",221719634,5265199,0,124750,2024-03-16
tWYsfOSY9vY,I Survived 7 Days In An Abandoned City,291125995,6471527,0,198761,2024-03-02
sH48lKbayNU,Unboxing My 200M Subscriber Play Button,230938006,14114176,0,50582,2024-02-29
AFXoSFNMwIA,I Filled Chandler’s Car With Feastables,381019175,13988205,0,26028,2024-02-27
k194wHZHjB0,Most Expensive Hand Model Holds Feastables,523388253,11564747,0,8910,2024-02-24
AjwAdtlRKf8,"Buy Feastables, Win $10,000",402525127,15572483,0,33126,2024-02-18
KOEfDvr4DcQ,"Face Your Biggest Fear To Win $800,000",334867103,6460968,0,224632,2024-02-10
krsBRQbOPQ4,"$1 vs $250,000,000 Private Island!",333893656,5770885,0,101128,2024-01-27
7ESeQBeikKs,"Protect $500,000 Keep It!",180173137,4744350,0,70329,2024-01-13
K_CbgLpvH9E,I Spent 7 Days In Solitary Confinement,249258060,5299560,0,80980,2023-12-30
lOKASgtr6kU,I Adopted 100 Dogs!,330362870,6391422,0,106163,2023-12-23
9RhWXPcKBI8,"Survive 100 Days Trapped with a Stranger, Win $500,000",396085231,6712952,0,94896,2023-12-16
ZVt9ZJfWV1c,"Feeding A Dog $1 vs $10,000 Steak",514803783,15120980,0,29813,2023-12-14
rWBOITBjitE,Could You Walk Up A Skyscraper?,409921719,14737723,0,28101,2023-12-05
tnTPaLOaHz8,"$10,000 Every Day You Survive In A Grocery Store",429568548,7100392,0,84062,2023-12-02
Wdjh81uH6FU,"$1 vs $10,000,000 Job!",272446291,4738891,0,61606,2023-11-25
7dYTw-jAYkY,I Spent 7 Days Buried Alive,265060647,7683714,0,116085,2023-11-18
AjZDwxt7S8w,I Gave Away A House On Halloween,329371828,13450025,0,35787,2023-11-10
aZnqqXaT02g,Giving Car Keys Instead Of Candy On Halloween,359329225,10642730,0,14549,2023-11-09
mwKJfNYwvm8,I Built 100 Wells In Africa,249355739,10341550,0,212955,2023-11-04
l9_8_pDTmis,"Furthest Away From Me Wins $10,000",631478054,21281334,0,38091,2023-11-02
n7x4Jj9pdH8,World’s Most Expensive Bed,484491912,20884610,0,35566,2023-10-31
QjvpjXdgugA,World’s Deadliest Laser Maze!,274868601,4757853,0,82816,2023-10-28
jGAJCAuV3pQ,World’s Most Expensive Coffee,261858586,11179407,0,27811,2023-10-19
c0v8OPItCOg,"$100,000,000 Bathroom",333961180,12394079,0,22213,2023-10-17
SHOV58tdNiI,Miranda Cosgrove Said What?,254585721,12154050,0,60836,2023-10-15
3ryID_SwU5E,"$1 vs $100,000,000 House!",360884255,6214224,0,132252,2023-10-14
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,623451623,25966277,0,33617,2023-10-12
3OFj6l2tQ9s,World's Most Dangerous Trap!,309584555,6619340,0,149620,2023-10-07
bvlFjrcpD6s,I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,415657228,27759597,0,78774,2023-10-05
AZlBZuS4hr0,"Guess The Gift, Keep It",864283315,25051731,0,20692,2023-10-03
Gx6VeIIbWwM,"Spot The Hidden People For $10,000",716305355,21614689,0,29180,2023-09-28
CAOY8EKH1qU,I Paid A Random Student’s College Tuition,456255253,24242094,0,56339,2023-09-26
IQxea9UB1nQ,"$100,000,000 Car Doors",1159324038,28855116,0,37768,2023-09-19
KrLj6nc516A,"$1 vs $100,000,000 Car!",464596942,7713368,0,152414,2023-09-16
zgLhCT7aFCA,Extreme Home Makeover!,376267840,19380879,0,44845,2023-09-12
L5kIXRdwGAI,Katana Vs Bullet,1057892322,37266748,0,49791,2023-09-07
19NmWqv4Alk,How Many School Buses Can We Stack?,480032017,15351019,0,28403,2023-09-05
vBpQ1SlfVtU,Lamborghini Vs World's Largest Shredder,242806833,5649491,0,142756,2023-09-02
SGzWIoLAzmY,"Feeding A Cat $10 Vs $10,000 Sushi",362296126,13586236,0,29140,2023-08-31
NnNZLCl78Ao,"Make This Kick, Win Super Bowl Tickets",137376888,5184052,0,8924,2023-08-25
NTZhwAldqwg,Metal Pipe Vs School Bus,509664803,13765602,0,28366,2023-08-22
J_z-W4UVHkw,"Every Country On Earth Fights For $250,000!",240268746,6377167,0,368624,2023-08-19
mKIhHNznt4s,Can You Beat A Girl In Arm Wrestling?,538770142,20744580,0,37785,2023-08-17
jObOjhUkf50,"$1 vs $250,000 Vacation!",362877166,6581305,0,107233,2023-08-12
O3YVBJ2n5xg,I Ate The World’s Most Poisonous Fish,470729159,21473823,0,39330,2023-08-08
yhB3BgJyGl8,7 Days Stranded At Sea,377626299,8090859,0,125322,2023-08-05
CP82DAKzL1U,I Traded My Car At a Red Light,644483544,26211755,0,39385,2023-07-15
fuhE6PYnRMc,Train Vs Giant Pit,272247374,6531720,0,129577,2023-07-08
stUofW3whpE,I Buried Treasure in the Bermuda Triangle,477394870,25229973,0,35472,2023-07-06
48h57PspBec,"$1 vs $1,000,000,000 Yacht!",480355689,8044005,0,160490,2023-06-10
ooAwCOP67GQ,Do Pawnshops Scam You?,392468000,16064800,0,24703,2023-06-03
FM7Z-Xq8Drc,"Ages 1 - 100 Fight For $500,000",433532295,6685876,0,118340,2023-05-28
ykRq_rp7NhM,I Got Naruto to Subscribe to Me,306297082,13258927,0,23968,2023-05-21
9fNNhWH-P2E,I Made An Egg Sandwich With @BayashiTV_,272017040,12087096,0,40158,2023-05-13
WTOm65IZneg,"1,000 Deaf People Hear For The First Time",197561499,5471894,0,152968,2023-05-07
8kggT2ej-lo,Would You Pet a Cheetah in Africa?,834751078,28032354,0,39232,2023-05-02
GGBy50KtvRk,Tipping A Waitress A Car,630250684,28300651,0,62776,2023-04-23
Y4-gFIfGXiQ,Would you go on a Blind Date in Italy?,533826000,23646510,0,28083,2023-04-16
1WEAJ-DFkHE,World's Most Expensive Flights!,501427233,8678659,0,170680,2023-04-02
Y0cBiGUuB1Y,I Sent a Subscriber to Disneyland,625541037,29888749,0,80785,2023-03-31
YLt73w6criQ,I Paid A Real Assassin To Try To Kill Me,315569395,6352163,0,104526,2023-03-19
NPYPXWJBTWM,"$10,000 Girl Scout Cookies",599300218,13573741,0,18282,2023-03-11
lglIQkCHO0g,Do Men Lie About Their Height?,524465894,21083328,0,28049,2023-02-15
TJ2ifmkGGus,"1,000 Blind People See For The First Time",206124419,10393971,0,381282,2023-01-29
7IKab3HcfFk,I Survived 50 Hours In Antarctica,238888143,5738070,0,142707,2022-12-25
h5NvTTOlOtI,Hydraulic Press Vs Lamborghini,257229500,5771499,0,124873,2022-12-11
se50viFJ0AQ,Would You Fly To Paris For A Baguette?,1591316367,56669675,0,117519,2022-12-09
0CTp1a-aCUM,"100 Kids Vs 100 Adults For $500,000",313092726,4848431,0,92453,2022-12-04
FD-0KG-h2-c,Gordon Ramsay Tries Most Expensive Chocolate Bar!,770071266,29935699,0,49959,2022-11-20
kX3nB4PpJko,"Last To Take Hand Off Jet, Keeps It!",235488517,4890461,0,100094,2022-11-13
YlvcFJOE-OE,Giving iPhones Instead Of Candy on Halloween,1541070349,40271915,0,137350,2022-11-03
iogcY_4xGjo,"$1 vs $1,000,000 Hotel Room!",406377532,7414076,0,114157,2022-10-23
S_CUEOBZ0P4,"The Rock Vs MrBeast For $100,000",679269649,35754653,0,77003,2022-10-22
gHzuabZUd6c,"Survive 100 Days In Circle, Win $500,000",370805501,6235432,0,100063,2022-09-25
65fN_OUawjk,I Hunted 100 People!,243301384,3963493,0,65046,2022-09-04
jdMNoQE3mIQ,I Survived A Plane Crash,219265834,4222148,0,73871,2022-08-21
2isYuQZMbdU,"I Gave My 100,000,000th Subscriber An Island",243721328,7083864,0,225726,2022-08-05
tVWWp1PqDus,"100 Boys Vs 100 Girls For $500,000",271246164,4969068,0,136934,2022-07-24
vaIgyRoUkQI,I Didn’t Eat Food For 30 Days,123516212,4254112,0,106015,2022-07-03
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,353800370,6881879,0,156202,2022-06-05
hD1YtmKXNb4,"$10,000 Every Day You Survive Prison",239610316,5602660,0,128245,2022-04-10
LnlKwzc_TNA,"Would You Swim With Sharks For $100,000?",203740145,4183356,0,87249,2022-03-20
3jS_yEK8qVI,World’s Most Dangerous Escape Room!,286109683,5582244,0,130719,2022-01-30
00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",109279726,3659945,0,117681,2021-12-19
x9TQ6culXIA,"World's Biggest YouTubers Fight for $1,000,000",102178528,3144682,0,84301,2021-12-17
QbJJwaVdgIs,I Got Hunted By The Military,249502097,4800810,0,93000,2021-12-11
0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",852237072,19586499,0,633243,2021-11-25
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,131904057,5613245,0,167064,2021-10-30
qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",195563463,4802093,0,126654,2021-10-24
cExLQ1o2pDw,"First To Rob Bank Wins $100,000",206742058,4537108,0,117688,2021-09-27
uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",220852178,4765725,0,97387,2021-09-05
zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",526114867,7726566,0,127317,2021-09-01
hxwpkM5w3Cc,I Got Hunted By The FBI,251568336,4813680,0,94167,2021-08-08
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",248018899,3904613,0,78343,2021-07-25
urtFrxDUV6c,"Would YOU Quit School For $100,000?",185533516,3677087,0,82631,2021-07-11
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,285885959,4418419,0,98768,2021-06-27
NZlClr_ivb4,"Hit The Target, Win $300,000",205870480,3774437,0,80470,2021-06-13
E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,256470944,3631001,0,82238,2021-06-02
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,230749873,4353202,0,120776,2021-04-25
WcwGleN38zE,"Extreme $100,000 Game of Tag!",263698065,3985423,0,116523,2021-04-18
fMfipiV_17o,"Would You Sit In Snakes For $10,000?",365263328,5734121,0,139922,2021-04-11
ayXxwJJId_c,"I Bought The World's Largest Mystery Box! ($500,000)",283616995,5496666,0,174204,2021-04-04
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,333439826,8343854,0,243394,2021-03-28
DuQbOQwVaNE,"Offering People $100,000 To Quit Their Job",165733012,3527194,0,111526,2021-03-14
vJH28ICkCdU,I Sold My House For $1,176967765,4002801,0,114501,2021-03-07
_uwNDiU04zE,"I Donated $300,000 To People In Need",56133939,3016500,0,143474,2021-02-14
C680oxL__ck,"I Ate $100,000 Golden Ice Cream",292287456,6106058,0,172255,2021-01-23
5Fg9oZk-5uA,I Bought Everything In 5 Stores,194663511,5646443,0,188624,2021-01-10
PKtnafFtfEo,"Youtube Rewind 2020, Thank God It's Over",72983571,5039130,0,274424,2021-01-02
f0c7pSCoZqE,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",130090064,2995156,0,105990,2020-12-24
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,198130885,5160939,0,726412,2020-12-20
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",231058063,6979707,0,184093,2020-12-16
Dc2ZRmuH5OM,"Steal This $100,000 Diamond, You Keep It",226601963,3694449,0,92510,2020-11-29
GLoeAJUcz38,"Press This Button To Win $100,000!",347131681,4800003,0,91736,2020-11-15
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,179028833,4245016,0,193149,2020-10-30
IoZri9hq7z4,I Uber’d People And Let Them Keep The Car,148270041,4181093,0,85187,2020-10-25
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,254329490,4101854,0,115804,2020-10-11
AKJfakEsgy0,Hi Me In 5 Years,143175763,7266091,0,255562,2020-10-05
Vl3swga-Xrk,"Would You Rather Have A Giant Diamond or $100,000?",198089053,3060442,0,71516,2020-09-27
UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",204585752,4819388,0,184291,2020-09-20
Dx0Da_Y2fBg,I Am The World’s Greatest Samurai,477501664,14392562,0,64582,2020-09-18
TDiXxsQ0w2Q,Why I Haven’t Been Uploading,59122532,2796052,0,94550,2020-09-18
oD155zWANQg,"Get This Random Person 1,000,000 Subscribers",87073316,2651516,0,119904,2020-09-06
s1ax8Tx_Jz0,Would YOU Rather Have A Lamborghini or This House?,227029468,4135324,0,150715,2020-08-23
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",287117070,5853500,0,224243,2020-08-16
FbM1yi4mMMc,I Bought A Private Island,180895960,3988816,0,127144,2020-08-14
5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",147259853,3383862,0,84565,2020-08-09
Rj_vssRaZlQ,I Ate The World’s Largest Slice Of Pizza,308455628,4784929,0,135972,2020-08-02
YQDDm9HLkV4,I Adopted EVERY Dog In A Dog Shelter,269187500,5013975,0,207908,2020-07-24
erQ_9yEz0ls,"I Bought The World's Largest Firework ($600,000)",248335558,5412296,0,180395,2020-07-04
OAbP-V6fEVc,I Broke Into A House,204412931,3939276,0,197535,2020-06-26
_qAJMXfL6o0,"Would You Rather Have $100,000 OR This Mystery Key?",264249940,4180571,0,120769,2020-06-14
59AYXzCa-Cs,I Built The World's Largest Lego Tower,207756282,3604103,0,76551,2020-06-07
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,334721790,5087333,0,116829,2020-05-31
YSoJPA8-oHc,If You Click This Video I'll Give My Friend .001$,224690169,7529247,0,167991,2020-05-24
5Hg_QSIJm8I,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",47283475,1408978,0,63562,2020-05-08
gsWPpE4Rid0,Videos I Could Not Upload...,172412019,4128363,0,65597,2020-05-01
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,226282839,3429717,0,79412,2020-04-12
oBYbxw8f5OI,"Giving $1,000,000 Of Food To People In Need",67761526,1956888,0,65032,2020-03-28
AiGKBNGlzHo,I Ran A Marathon In The World's Largest Shoes,186294585,3538362,0,70598,2020-03-22
_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",158615641,2803882,0,67090,2020-03-14
yXWw0_UfSFg,Anything You Can Fit In The Circle I’ll Pay For,322919882,5296453,0,113100,2020-03-08
F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",276803358,4485218,0,110547,2020-03-01
KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",149304919,2754566,0,55026,2020-02-09
IYVjOfoU3uI,I Gave My Credit Card To Random People,198620622,4112338,0,97280,2020-02-02
oI6aXhowFDY,I Went Back To Boy Scouts For A Day,129364253,2315137,0,45868,2020-01-26
LdMx2U5tby0,"$60,000 Extreme Hide And Seek - Challenge",173277922,2962734,0,50419,2020-01-18
fY-LA3YaZ_M,"How I Gained 15,000,000 Subscribers In 1 Year",19701015,898776,0,39770,2020-01-04
0hVZOJCYBBM,Important Youtube Announcement (please watch),38966392,2426754,0,125650,2019-12-29
Z9WQy9jEY8M,"Giving 10,000 Presents To Kids For Christmas",81440686,3153741,0,170891,2019-12-24
bs0SWXbty18,"Spending $1,000,000 In 24 Hours",203857943,4832491,0,126721,2019-12-22
yeqARWqjkps,"Last To Take Hand Off $1,000,000 Keeps It",145859803,3451755,0,296338,2019-12-20
wMuYiLby3-s,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",68065967,1505401,0,91755,2019-12-15
NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",103642109,1964073,0,48803,2019-12-08
sfv1QaRzJg8,I Ordered Pizza And Tipped The House,154039780,4380252,0,105250,2019-12-06
RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",145825658,2380334,0,80966,2019-12-01
X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge",166595234,3117068,0,51250,2019-11-29
ORUX1lHbOa8,I Opened A FREE BANK,127038742,3037883,0,94082,2019-11-24
LU_xVr4b2qM,"Going Around A Ferris Wheel 1,000 Times Straight",130499098,2613089,0,49774,2019-11-17
tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",167580751,3169419,0,56724,2019-11-15
D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,260678540,4447236,0,99657,2019-11-10
jokVbbLqV_E,"I Spent $100,000 On Lottery Tickets And Won!",57841583,1434465,0,29839,2019-11-01
HPJKxAhLw5I,"Planting 20,000,000 Trees, My Biggest Project Ever!",115900104,4545732,0,160778,2019-10-26
Ims5p6wjW9s,"Last To Take Hand Off Boat, Keeps It",135232006,2153428,0,57163,2019-10-20
anFxsa5jXrE,"I Searched 100 Dumpsters, Here's What I Found",227731062,3179878,0,57134,2019-10-13
QxGVgXf_LNk,"Going Through The Same Drive Thru 1,000 Times",305582562,5194828,0,131423,2019-10-06
al6130OD1Ck,"Donating $100,000 To Random Streamers",66324724,1903278,0,42433,2019-09-29
d1010B3sKNQ,Surviving 24 Hours Straight In A Rain Forest,143039459,2705960,0,72899,2019-09-22
NS3hse9ezik,"Last To Leave Ramen Noodle Pool Wins $20,000",77486710,1600736,0,43734,2019-09-14
npDey6_9YRs,"Anything You Can Carry, I'll Pay For #2",89790218,1737501,0,34634,2019-09-07
0NGWT9COcEI,"I Gave My Brother 24 Hours To Spend $100,000",106669131,2575487,0,56533,2019-09-01
3LLnjRLrvLU,I Opened A Free Car Dealership,150352567,3529138,0,137170,2019-08-30
bTrV5v7GLcQ,"Last To Leave Pool Of $20,000 Keeps It",185646771,3358340,0,81910,2019-08-25
lBYC4_Lccjw,Surviving 24 Hours On A Deserted Island,208999694,3647400,0,79920,2019-08-23
gL6iSCSHjco,"Last To Leave Roller Coaster Wins $20,000 - Challenge",165506797,3062632,0,66583,2019-08-18
UQtltNZ_pjs,I Won Every Prize At A Theme Park,186038114,3030876,0,67781,2019-08-16
0DaMUhgcAqo,Destroying My Friend's Car And Surprising Him With A New One,114336780,2860882,0,61144,2019-08-11
TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,184561493,3947247,0,99197,2019-08-03
